Flight_ID,Aircraft_Type,Scheduled_ARR,Scheduled_DEP,Airline,Terminal,Is_International,Delay_MIN,Actual_ARR,Assigned_Gate,Assigned_Stand,Assigned_Gate_Reassigned,Assigned_Stand_Reassigned,Reward,Reassigned
HU1775,A330,2025-08-21 12:06:00,2025-08-21 12:52:00,HU,T1,0,0,2025-08-21 12:06:00,G04,G04,G04,G04,1.0,0
HU6892,B777,2025-08-21 12:31:00,2025-08-21 13:45:00,HU,T1,1,0,2025-08-21 12:31:00,G05,G05,G25,G25,0.5,1
CZ3504,A320,2025-08-21 12:33:00,2025-08-21 13:49:00,CZ,T2,0,0,2025-08-21 12:33:00,G06,G06,G06,G06,1.0,0
CZ6387,A330,2025-08-21 13:06:00,2025-08-21 14:22:00,CZ,T1,0,0,2025-08-21 13:06:00,G01,G01,G01,G01,-2.0,0
CA3790,B777,2025-08-21 13:40:00,2025-08-21 14:51:00,CA,T1,0,0,2025-08-21 13:40:00,G02,R20,G02,G02,1.0,1
ZH4510,A320,2025-08-21 12:55:00,2025-08-21 13:38:00,ZH,T1,0,47,2025-08-21 13:42:00,G07,G07,G07,G07,1.0,0
CA7966,B777,2025-08-21 11:49:00,2025-08-21 13:15:00,CA,T1,0,115,2025-08-21 13:44:00,G11,G11,G11,G11,1.0,0
CA7893,B737,2025-08-21 13:49:00,2025-08-21 14:50:00,CA,T2,0,0,2025-08-21 13:49:00,G03,R21,G03,G03,1.0,1
CA4763,A330,2025-08-21 13:51:00,2025-08-21 15:11:00,CA,T1,0,0,2025-08-21 13:51:00,G04,G04,G04,G04,1.0,0
HO2986,A320,2025-08-21 12:42:00,2025-08-21 13:47:00,HO,T1,1,80,2025-08-21 14:02:00,G08,R22,G05,G05,0.5,1
CZ7374,A330,2025-08-21 14:04:00,2025-08-21 15:06:00,CZ,T1,0,0,2025-08-21 14:04:00,G09,G09,G09,G09,1.0,0
HO2959,B777,2025-08-21 14:08:00,2025-08-21 15:20:00,HO,T1,0,0,2025-08-21 14:08:00,G10,R23,G23,G23,0.5,1
HU2365,A330,2025-08-21 14:15:00,2025-08-21 15:39:00,HU,T1,1,0,2025-08-21 14:15:00,G11,G11,G01,G01,0.5,1
MU9996,A320,2025-08-21 14:22:00,2025-08-21 15:24:00,MU,T1,0,0,2025-08-21 14:22:00,G07,G07,G07,G07,1.0,0
HU8158,A320,2025-08-21 13:32:00,2025-08-21 14:48:00,HU,T1,0,57,2025-08-21 14:29:00,G12,R24,G17,G17,0.5,1
CA2542,B737,2025-08-21 14:11:00,2025-08-21 15:07:00,CA,T2,0,18,2025-08-21 14:29:00,G13,R25,G14,G14,0.5,1
CA5495,B737,2025-08-21 14:31:00,2025-08-21 15:56:00,CA,T1,0,0,2025-08-21 14:31:00,G05,G05,G22,G22,0.5,1
CZ8992,A330,2025-08-21 14:25:00,2025-08-21 15:11:00,CZ,T1,0,17,2025-08-21 14:42:00,G14,G14,G14,G14,-2.0,0
HO8576,A320,2025-08-21 14:27:00,2025-08-21 15:55:00,HO,T2,1,15,2025-08-21 14:42:00,G08,R22,G12,G12,0.5,1
CA3914,B777,2025-08-21 14:44:00,2025-08-21 15:46:00,CA,T1,0,0,2025-08-21 14:44:00,G06,G06,G24,G24,0.5,1
HU4072,A320,2025-08-21 13:35:00,2025-08-21 14:55:00,HU,T2,0,72,2025-08-21 14:47:00,G15,G15,G20,G20,0.5,1
CZ2167,A330,2025-08-21 14:03:00,2025-08-21 15:05:00,CZ,T2,0,51,2025-08-21 14:54:00,G16,G16,G16,G16,1.0,0
MU1412,A320,2025-08-21 14:20:00,2025-08-21 15:49:00,MU,T1,0,45,2025-08-21 15:05:00,G17,G17,G25,G25,0.5,1
CA9110,A320,2025-08-21 15:06:00,2025-08-21 15:46:00,CA,T2,0,0,2025-08-21 15:06:00,G01,G01,G05,G05,0.5,1
CZ5297,B737,2025-08-21 15:15:00,2025-08-21 16:28:00,CZ,T1,1,0,2025-08-21 15:15:00,G18,G18,G18,G18,1.0,0
MU8555,A320,2025-08-21 15:21:00,2025-08-21 16:40:00,MU,T2,0,0,2025-08-21 15:21:00,G19,G19,G15,G15,0.5,1
CA4581,A330,2025-08-21 15:23:00,2025-08-21 16:14:00,CA,T2,0,0,2025-08-21 15:23:00,G20,G20,G17,G17,-2.0,1
MU9164,B777,2025-08-21 15:25:00,2025-08-21 16:27:00,MU,T1,0,0,2025-08-21 15:25:00,G21,G21,G11,G11,0.5,1
ZH1004,A330,2025-08-21 15:31:00,2025-08-21 16:54:00,ZH,T2,0,0,2025-08-21 15:31:00,G02,R20,G03,G03,0.5,1
HU3049,B777,2025-08-21 15:31:00,2025-08-21 16:59:00,HU,T1,1,0,2025-08-21 15:31:00,G03,R21,G17,G17,0.5,1
HU4627,B737,2025-08-21 15:33:00,2025-08-21 16:18:00,HU,T1,0,0,2025-08-21 15:33:00,G12,R24,G16,G16,-2.0,1
CA5611,B777,2025-08-21 16:07:00,2025-08-21 16:47:00,CA,T1,0,0,2025-08-21 16:07:00,G04,G04,G20,G20,0.5,1
MU3027,A330,2025-08-21 14:40:00,2025-08-21 15:43:00,MU,T1,0,90,2025-08-21 16:10:00,G22,G22,G14,G14,0.5,1
ZH1698,A330,2025-08-21 16:12:00,2025-08-21 17:40:00,ZH,T1,0,0,2025-08-21 16:12:00,G07,G07,G04,G04,0.5,1
HO2895,A320,2025-08-21 15:29:00,2025-08-21 16:11:00,HO,T2,0,56,2025-08-21 16:25:00,G23,G23,G20,G20,-2.0,1
CA2648,B777,2025-08-21 16:27:00,2025-08-21 17:17:00,CA,T2,0,0,2025-08-21 16:27:00,G01,G01,G16,G16,0.5,1
ZH5282,B737,2025-08-21 16:08:00,2025-08-21 16:56:00,ZH,T2,0,29,2025-08-21 16:37:00,G09,G09,G13,G13,0.5,1
CZ6172,B737,2025-08-21 16:37:00,2025-08-21 17:18:00,CZ,T2,0,0,2025-08-21 16:37:00,G05,G05,G21,G21,0.5,1
HU6393,B737,2025-08-21 16:46:00,2025-08-21 17:46:00,HU,T1,1,0,2025-08-21 16:46:00,G06,G06,G09,G09,0.5,1
ZH2540,B777,2025-08-21 16:33:00,2025-08-21 17:14:00,ZH,T1,0,17,2025-08-21 16:50:00,G10,R23,G14,G14,0.5,1
HO8806,B777,2025-08-21 17:02:00,2025-08-21 17:43:00,HO,T2,0,0,2025-08-21 17:02:00,G08,R22,G13,G13,-2.0,1
HO4354,A320,2025-08-21 15:22:00,2025-08-21 16:09:00,HO,T1,0,106,2025-08-21 17:08:00,G24,G24,G23,G23,0.5,1
CA6864,A330,2025-08-21 16:32:00,2025-08-21 17:24:00,CA,T2,0,36,2025-08-21 17:08:00,G11,G11,G24,G24,0.5,1
CZ1417,A320,2025-08-21 16:04:00,2025-08-21 17:09:00,CZ,T2,0,67,2025-08-21 17:11:00,G13,R25,G23,G23,0.5,1
MU6592,A320,2025-08-21 16:39:00,2025-08-21 17:46:00,MU,T1,0,36,2025-08-21 17:15:00,G14,G14,G23,G23,-2.0,1
HO9155,B777,2025-08-21 16:40:00,2025-08-21 17:30:00,HO,T1,0,40,2025-08-21 17:20:00,G15,G15,G05,G05,0.5,1
HU6986,B777,2025-08-21 17:21:00,2025-08-21 18:26:00,HU,T2,0,0,2025-08-21 17:21:00,G12,R24,G25,G25,0.5,1
CA3427,A330,2025-08-21 17:29:00,2025-08-21 18:43:00,CA,T2,0,0,2025-08-21 17:29:00,G04,G04,G19,G19,0.5,1
CA5642,B737,2025-08-21 16:58:00,2025-08-21 17:41:00,CA,T2,0,53,2025-08-21 17:51:00,G16,G16,G15,G15,0.5,1
CZ9529,A330,2025-08-21 17:59:00,2025-08-21 19:23:00,CZ,T1,0,0,2025-08-21 17:59:00,G01,G01,G09,G09,-2.0,1
CA8357,B737,2025-08-21 17:03:00,2025-08-21 18:05:00,CA,T2,0,64,2025-08-21 18:07:00,G17,G17,G13,G13,0.5,1
CA5752,B777,2025-08-21 17:09:00,2025-08-21 18:07:00,CA,T2,0,67,2025-08-21 18:16:00,G18,G18,G12,G12,0.5,1
ZH7457,A320,2025-08-21 17:37:00,2025-08-21 18:38:00,ZH,T1,1,51,2025-08-21 18:28:00,G02,R20,G02,G02,1.0,1
CZ1663,B777,2025-08-21 16:48:00,2025-08-21 18:04:00,CZ,T1,1,105,2025-08-21 18:33:00,G22,G22,G14,G14,0.5,1
CZ8805,B777,2025-08-21 16:40:00,2025-08-21 17:20:00,CZ,T1,0,118,2025-08-21 18:38:00,G25,G25,G14,G14,0.5,1
MU8734,B737,2025-08-21 17:26:00,2025-08-21 18:49:00,MU,T2,1,110,2025-08-21 19:16:00,G19,G19,G19,G19,-2.0,0
