Flight Number_ARR,Status_ARR,Scheduled_Time_ARR,Stand,Stand_Type,Terminal,Flight Number_DEP,Status_DEP,Scheduled_Time_DEP,Gate_DEP
HV6124,"ARR,EXP",2025-07-10 02:00:00+02:00,,,1.0,,,,
KL3291,"ARR,EXP",2025-07-10 02:00:00+02:00,,,1.0,,,,
KL2635,"ARR,EXP",2025-07-10 02:00:00+02:00,,,1.0,,,,
HV5306,"ARR,EXP",2025-07-10 02:05:00+02:00,,,1.0,,,,
PC1773,"ARR,EXP",2025-07-10 01:20:00+02:00,G3,Bridge,3.0,PC1774,DEP,2025-07-10 02:10:00+02:00,G3
,,,G3,Bridge,3.0,PC1774,DEP,2025-07-10 02:10:00+02:00,G3
HV5352,"ARR,EXP",2025-07-10 02:15:00+02:00,,,3.0,,,,
KL3282,"ARR,EXP",2025-07-10 02:15:00+02:00,,,3.0,,,,
HV5042,ARR,2025-07-10 02:25:00+02:00,,,4.0,,,,
HV6154,"ARR,EXP",2025-07-10 02:30:00+02:00,,,3.0,,,,
KL3277,"ARR,EXP",2025-07-10 02:30:00+02:00,,,3.0,,,,
MNB9406,"LND,EXP",2025-07-10 03:15:00+02:00,,,,,,,
,,,,,,MNB9406,DEP,2025-07-10 04:45:00+02:00,
,,,R027,Remote,1.0,HV6943,DEP,2025-07-10 05:00:00+02:00,E6
,,,E22,Bridge,1.0,HV403,DEP,2025-07-10 05:00:00+02:00,E22
HV5674,"ARR,EXP",2025-07-09 18:20:00+02:00,R014,Remote,1.0,HV5675,DEP,2025-07-10 05:00:00+02:00,D78
,,,R014,Remote,1.0,HV5675,DEP,2025-07-10 05:00:00+02:00,D78
,,,R014,Remote,1.0,KL2585,DEP,2025-07-10 05:00:00+02:00,D78
QY1446,"LND,EXP",2025-07-10 05:00:00+02:00,,,,,,,
KZ004,"LND,EXP",2025-07-10 05:05:00+02:00,,,,,,,
,,,R006,Remote,3.0,OR1181,DEP,2025-07-10 05:05:00+02:00,D62
,,,R021,Remote,1.0,HV6893,DEP,2025-07-10 05:15:00+02:00,D86
,,,R007,Remote,1.0,HV6913,DEP,2025-07-10 05:20:00+02:00,D63
,,,R007,Remote,1.0,KL2611,DEP,2025-07-10 05:20:00+02:00,D63
FX4235,"LND,EXP",2025-07-10 05:20:00+02:00,,,,,,,
,,,C5,Bridge,1.0,HV5695,DEP,2025-07-10 05:25:00+02:00,C5
,,,R005,Remote,1.0,HV5787,DEP,2025-07-10 05:30:00+02:00,D60
HV5786,"ARR,EXP",2025-07-10 01:35:00+02:00,R005,Remote,1.0,HV5787,DEP,2025-07-10 05:30:00+02:00,D60
,,,C7,Bridge,1.0,HV5131,DEP,2025-07-10 05:30:00+02:00,C7
HV5132,ARR,2025-07-09 11:20:00+02:00,C7,Bridge,1.0,HV5131,DEP,2025-07-10 05:30:00+02:00,C7
AF3615,"ARR,EXP",2025-07-10 05:40:00+02:00,,,3.0,,,,
DL0256,"ARR,EXP",2025-07-10 05:40:00+02:00,,,3.0,,,,
KL6095,"ARR,EXP",2025-07-10 05:40:00+02:00,,,3.0,,,,
VS3914,"ARR,EXP",2025-07-10 05:40:00+02:00,,,3.0,,,,
DL9507,ARR,2025-07-10 05:55:00+02:00,,,3.0,,,,
AF5479,ARR,2025-07-10 05:55:00+02:00,,,3.0,,,,
,,,R019,Remote,1.0,KL2639,DEP,2025-07-10 06:00:00+02:00,D84
OR1232,ARR,2025-07-09 21:00:00+02:00,R008,Remote,3.0,OR1233,DEP,2025-07-10 06:00:00+02:00,D66
,,,R019,Remote,1.0,HV5361,DEP,2025-07-10 06:00:00+02:00,D84
KL6071,ARR,2025-07-10 06:00:00+02:00,,,3.0,,,,
AF5606,"ARR,EXP",2025-07-10 06:00:00+02:00,,,3.0,,,,
,,,R008,Remote,3.0,OR1233,DEP,2025-07-10 06:00:00+02:00,D66
AF3652,ARR,2025-07-10 06:00:00+02:00,,,3.0,,,,
,,,C15,Bridge,1.0,HV1861,DEP,2025-07-10 06:00:00+02:00,C15
VS3929,"ARR,EXP",2025-07-10 06:00:00+02:00,,,3.0,,,,
,,,R011,Remote,1.0,KL2580,DEP,2025-07-10 06:05:00+02:00,D73
,,,R011,Remote,1.0,HV6113,DEP,2025-07-10 06:05:00+02:00,D73
,,,R013,Remote,1.0,KL2697,DEP,2025-07-10 06:10:00+02:00,D77
HV6630,"ARR,EXP",2025-07-09 15:20:00+02:00,R013,Remote,1.0,HV6629,DEP,2025-07-10 06:10:00+02:00,D77
KL2698,"ARR,EXP",2025-07-09 15:20:00+02:00,R013,Remote,1.0,KL2697,DEP,2025-07-10 06:10:00+02:00,D77
,,,R016,Remote,1.0,KL2761,DEP,2025-07-10 06:10:00+02:00,D81
,,,R016,Remote,1.0,HV6457,DEP,2025-07-10 06:10:00+02:00,D81
,,,R013,Remote,1.0,HV6629,DEP,2025-07-10 06:10:00+02:00,D77
HV5792,ARR,2025-07-09 12:00:00+02:00,R020,Remote,1.0,HV5791,DEP,2025-07-10 06:15:00+02:00,D85
,,,R020,Remote,1.0,HV5791,DEP,2025-07-10 06:15:00+02:00,D85
OR393,ARR,2025-07-10 06:20:00+02:00,,,4.0,,,,
,,,R022,Remote,1.0,HV5621,DEP,2025-07-10 06:25:00+02:00,D87
,,,R022,Remote,1.0,KL2619,DEP,2025-07-10 06:25:00+02:00,D87
AF8404,"ARR,EXP",2025-07-10 06:30:00+02:00,,,2.0,,,,
DL9500,"ARR,EXP",2025-07-10 06:30:00+02:00,,,2.0,,,,
KL0888,"ARR,EXP",2025-07-10 06:30:00+02:00,,,2.0,,,,
QF4217,"ARR,EXP",2025-07-10 06:30:00+02:00,,,2.0,,,,
,,,B3,Bridge,1.0,KL1497,DEP,2025-07-10 06:35:00+02:00,B3
,,,B3,Bridge,1.0,G35525,DEP,2025-07-10 06:35:00+02:00,B3
,,,B3,Bridge,1.0,DL9299,DEP,2025-07-10 06:35:00+02:00,B3
KL1498,"ARR,EXP",2025-07-09 11:40:00+02:00,B3,Bridge,1.0,KL1497,DEP,2025-07-10 06:35:00+02:00,B3
DL9300,ARR,2025-07-09 13:40:00+02:00,B3,Bridge,1.0,DL9299,DEP,2025-07-10 06:35:00+02:00,B3
,,,R012,Remote,1.0,VN3107,DEP,2025-07-10 06:40:00+02:00,D74
,,,R012,Remote,1.0,MU1555,DEP,2025-07-10 06:40:00+02:00,D74
,,,R010,Remote,1.0,HV6337,DEP,2025-07-10 06:40:00+02:00,D71
,,,R012,Remote,1.0,KL1401,DEP,2025-07-10 06:40:00+02:00,D74
,,,R009,Remote,1.0,HV6871,DEP,2025-07-10 06:40:00+02:00,D68
AF8372,"ARR,EXP",2025-07-09 07:50:00+02:00,R012,Remote,1.0,AF8373,DEP,2025-07-10 06:40:00+02:00,D74
,,,R009,Remote,1.0,KL2605,DEP,2025-07-10 06:40:00+02:00,D68
,,,R012,Remote,1.0,DL9205,DEP,2025-07-10 06:40:00+02:00,D74
,,,R012,Remote,1.0,AF8373,DEP,2025-07-10 06:40:00+02:00,D74
,,,C16,Bridge,1.0,KL2541,DEP,2025-07-10 06:45:00+02:00,C16
,,,C16,Bridge,1.0,HV6141,DEP,2025-07-10 06:45:00+02:00,C16
KL2540,"ARR,EXP",2025-07-10 01:00:00+02:00,C16,Bridge,1.0,KL2541,DEP,2025-07-10 06:45:00+02:00,C16
,,,B6,Bridge,1.0,DL9606,DEP,2025-07-10 06:50:00+02:00,B6
,,,R014,Remote,1.0,KL1901,DEP,2025-07-10 06:50:00+02:00,D78
MF9717,"ARR,EXP",2025-07-09 11:10:00+02:00,R014,Remote,1.0,MF9716,DEP,2025-07-10 06:50:00+02:00,D78
KL1902,"ARR,EXP",2025-07-09 11:10:00+02:00,R014,Remote,1.0,KL1901,DEP,2025-07-10 06:50:00+02:00,D78
,,,R014,Remote,1.0,CZ7699,DEP,2025-07-10 06:50:00+02:00,D78
AF6715,"ARR,EXP",2025-07-10 06:50:00+02:00,,,2.0,,,,
,,,R015,Remote,1.0,HV5045,DEP,2025-07-10 06:50:00+02:00,D79
,,,R014,Remote,1.0,MF9716,DEP,2025-07-10 06:50:00+02:00,D78
,,,R014,Remote,1.0,DL9418,DEP,2025-07-10 06:50:00+02:00,D78
,,,R014,Remote,1.0,CI8589,DEP,2025-07-10 06:50:00+02:00,D78
KL1902,"ARR,EXP",2025-07-09 11:10:00+02:00,R014,Remote,1.0,KL1901,DEP,2025-07-10 06:50:00+02:00,D78
,,,B6,Bridge,1.0,KL1701,DEP,2025-07-10 06:50:00+02:00,B6
,,,B6,Bridge,1.0,MU1833,DEP,2025-07-10 06:50:00+02:00,B6
MF9354,"ARR,EXP",2025-07-09 08:55:00+02:00,B6,Bridge,1.0,MF9353,DEP,2025-07-10 06:50:00+02:00,B6
CI8588,"ARR,EXP",2025-07-09 08:40:00+02:00,R014,Remote,1.0,CI8589,DEP,2025-07-10 06:50:00+02:00,D78
MF9352,"ARR,EXP",2025-07-09 07:00:00+02:00,B6,Bridge,1.0,MF9353,DEP,2025-07-10 06:50:00+02:00,B6
KL1700,"ARR,EXP",2025-07-09 07:00:00+02:00,B6,Bridge,1.0,KL1701,DEP,2025-07-10 06:50:00+02:00,B6
DL9605,"ARR,EXP",2025-07-09 07:50:00+02:00,B6,Bridge,1.0,DL9606,DEP,2025-07-10 06:50:00+02:00,B6
KL1702,"ARR,EXP",2025-07-09 08:55:00+02:00,B6,Bridge,1.0,KL1701,DEP,2025-07-10 06:50:00+02:00,B6
KL1900,ARR,2025-07-09 08:55:00+02:00,R014,Remote,1.0,KL1901,DEP,2025-07-10 06:50:00+02:00,D78
MF9715,ARR,2025-07-09 08:55:00+02:00,R014,Remote,1.0,MF9716,DEP,2025-07-10 06:50:00+02:00,D78
,,,B6,Bridge,1.0,MF9353,DEP,2025-07-10 06:50:00+02:00,B6
KL1796,ARR,2025-07-09 07:15:00+02:00,B16,Bridge,1.0,KL1797,DEP,2025-07-10 06:55:00+02:00,B16
KL1216,"ARR,EXP",2025-07-09 11:35:00+02:00,R018,Remote,1.0,KL1215,DEP,2025-07-10 06:55:00+02:00,D83
,,,B16,Bridge,1.0,MF9385,DEP,2025-07-10 06:55:00+02:00,B16
CZ7620,ARR,2025-07-09 13:35:00+02:00,R018,Remote,1.0,CZ7619,DEP,2025-07-10 06:55:00+02:00,D83
,,,B22,Bridge,1.0,MF9616,DEP,2025-07-10 06:55:00+02:00,B22
,,,B22,Bridge,1.0,DL9618,DEP,2025-07-10 06:55:00+02:00,B22
,,,B22,Bridge,1.0,KE6417,DEP,2025-07-10 06:55:00+02:00,B22
KL1350,"ARR,EXP",2025-07-09 07:30:00+02:00,B28,Bridge,1.0,KL1351,DEP,2025-07-10 06:55:00+02:00,B28
,,,B22,Bridge,1.0,MU1785,DEP,2025-07-10 06:55:00+02:00,B22
,,,B28,Bridge,1.0,CI9481,DEP,2025-07-10 06:55:00+02:00,B28
,,,R018,Remote,1.0,MF9308,DEP,2025-07-10 06:55:00+02:00,D83
,,,D22,Bridge,1.0,HV5313,DEP,2025-07-10 06:55:00+02:00,D22
KL1214,ARR,2025-07-09 08:40:00+02:00,R018,Remote,1.0,KL1215,DEP,2025-07-10 06:55:00+02:00,D83
MU1580,"ARR,EXP",2025-07-09 13:20:00+02:00,B16,Bridge,1.0,MU1579,DEP,2025-07-10 06:55:00+02:00,B16
KL1750,"ARR,EXP",2025-07-09 07:15:00+02:00,B7,Bridge,1.0,KL1751,DEP,2025-07-10 06:55:00+02:00,B7
MU1784,ARR,2025-07-09 13:25:00+02:00,B22,Bridge,1.0,MU1785,DEP,2025-07-10 06:55:00+02:00,B22
,,,D22,Bridge,1.0,KL2755,DEP,2025-07-10 06:55:00+02:00,D22
AF8975,"ARR,EXP",2025-07-10 06:55:00+02:00,,,3.0,,,,
VS3934,"ARR,EXP",2025-07-10 06:55:00+02:00,,,3.0,,,,
KL1352,"ARR,EXP",2025-07-09 10:25:00+02:00,B28,Bridge,1.0,KL1351,DEP,2025-07-10 06:55:00+02:00,B28
KE6434,"ARR,EXP",2025-07-09 19:10:00+02:00,B7,Bridge,1.0,KE6435,DEP,2025-07-10 06:55:00+02:00,B7
DL9531,ARR,2025-07-09 07:00:00+02:00,B28,Bridge,1.0,DL9532,DEP,2025-07-10 06:55:00+02:00,B28
,,,B22,Bridge,1.0,CZ7713,DEP,2025-07-10 06:55:00+02:00,B22
KE6418,ARR,2025-07-09 18:55:00+02:00,R018,Remote,1.0,KE6419,DEP,2025-07-10 06:55:00+02:00,D83
,,,B22,Bridge,1.0,KL1929,DEP,2025-07-10 06:55:00+02:00,B22
,,,R018,Remote,1.0,SK6651,DEP,2025-07-10 06:55:00+02:00,D83
KE6416,ARR,2025-07-09 20:30:00+02:00,B22,Bridge,1.0,KE6417,DEP,2025-07-10 06:55:00+02:00,B22
KL1928,"ARR,EXP",2025-07-09 08:55:00+02:00,B22,Bridge,1.0,KL1929,DEP,2025-07-10 06:55:00+02:00,B22
,,,B16,Bridge,1.0,MU1579,DEP,2025-07-10 06:55:00+02:00,B16
,,,R018,Remote,1.0,KE6419,DEP,2025-07-10 06:55:00+02:00,D83
,,,R018,Remote,1.0,MU1799,DEP,2025-07-10 06:55:00+02:00,D83
,,,B16,Bridge,1.0,CZ7681,DEP,2025-07-10 06:55:00+02:00,B16
KL1930,ARR,2025-07-09 10:45:00+02:00,B22,Bridge,1.0,KL1929,DEP,2025-07-10 06:55:00+02:00,B22
MF9617,ARR,2025-07-09 10:45:00+02:00,B22,Bridge,1.0,MF9616,DEP,2025-07-10 06:55:00+02:00,B22
DL9566,"ARR,EXP",2025-07-09 09:50:00+02:00,B16,Bridge,1.0,DL9565,DEP,2025-07-10 06:55:00+02:00,B16
,,,B16,Bridge,1.0,KL1797,DEP,2025-07-10 06:55:00+02:00,B16
,,,B16,Bridge,1.0,DL9565,DEP,2025-07-10 06:55:00+02:00,B16
,,,B28,Bridge,1.0,KL1351,DEP,2025-07-10 06:55:00+02:00,B28
,,,C13,Bridge,1.0,HV5461,DEP,2025-07-10 06:55:00+02:00,C13
KE6436,ARR,2025-07-09 16:00:00+02:00,B7,Bridge,1.0,KE6435,DEP,2025-07-10 06:55:00+02:00,B7
,,,C13,Bridge,1.0,KL2747,DEP,2025-07-10 06:55:00+02:00,C13
MF9615,"ARR,EXP",2025-07-09 08:55:00+02:00,B22,Bridge,1.0,MF9616,DEP,2025-07-10 06:55:00+02:00,B22
,,,B28,Bridge,1.0,DL9532,DEP,2025-07-10 06:55:00+02:00,B28
,,,R018,Remote,1.0,DL9183,DEP,2025-07-10 06:55:00+02:00,D83
,,,B7,Bridge,1.0,CZ7665,DEP,2025-07-10 06:55:00+02:00,B7
,,,B7,Bridge,1.0,DL9327,DEP,2025-07-10 06:55:00+02:00,B7
,,,B7,Bridge,1.0,KL1751,DEP,2025-07-10 06:55:00+02:00,B7
,,,B7,Bridge,1.0,MU1605,DEP,2025-07-10 06:55:00+02:00,B7
,,,R018,Remote,1.0,CZ7619,DEP,2025-07-10 06:55:00+02:00,D83
,,,R018,Remote,1.0,KL1215,DEP,2025-07-10 06:55:00+02:00,D83
MF9309,"ARR,EXP",2025-07-09 11:35:00+02:00,R018,Remote,1.0,MF9308,DEP,2025-07-10 06:55:00+02:00,D83
,,,B7,Bridge,1.0,KE6435,DEP,2025-07-10 06:55:00+02:00,B7
,,,C8,Bridge,1.0,QR3521,DEP,2025-07-10 07:00:00+02:00,C8
,,,C9,Bridge,1.0,KL2577,DEP,2025-07-10 07:00:00+02:00,C9
,,,B26,Bridge,1.0,SK6627,DEP,2025-07-10 07:00:00+02:00,B26
,,,B26,Bridge,1.0,MF9704,DEP,2025-07-10 07:00:00+02:00,B26
,,,C8,Bridge,1.0,VY8308,DEP,2025-07-10 07:00:00+02:00,C8
OS377,"ARR,EXP",2025-07-09 22:15:00+02:00,B17,Bridge,1.0,OS378,DEP,2025-07-10 07:00:00+02:00,B17
KL2578,"ARR,EXP",2025-07-09 11:55:00+02:00,C9,Bridge,1.0,KL2577,DEP,2025-07-10 07:00:00+02:00,C9
MF9703,ARR,2025-07-09 08:15:00+02:00,B26,Bridge,1.0,MF9704,DEP,2025-07-10 07:00:00+02:00,B26
KL1196,ARR,2025-07-09 08:15:00+02:00,B26,Bridge,1.0,KL1197,DEP,2025-07-10 07:00:00+02:00,B26
,,,C8,Bridge,1.0,IB5242,DEP,2025-07-10 07:00:00+02:00,C8
SK6626,ARR,2025-07-09 08:40:00+02:00,B26,Bridge,1.0,SK6627,DEP,2025-07-10 07:00:00+02:00,B26
,,,B26,Bridge,1.0,KL1197,DEP,2025-07-10 07:00:00+02:00,B26
LH2310,ARR,2025-07-09 21:55:00+02:00,B35,Bridge,1.0,LH2311,DEP,2025-07-10 07:00:00+02:00,B35
,,,B26,Bridge,1.0,GA9478,DEP,2025-07-10 07:00:00+02:00,B26
,,,C9,Bridge,1.0,HV6819,DEP,2025-07-10 07:00:00+02:00,C9
,,,B35,Bridge,1.0,LH2311,DEP,2025-07-10 07:00:00+02:00,B35
LO269,"ARR,EXP",2025-07-09 22:25:00+02:00,B36,Bridge,1.0,LO270,DEP,2025-07-10 07:00:00+02:00,B36
,,,B26,Bridge,1.0,KE6431,DEP,2025-07-10 07:00:00+02:00,B26
,,,G4,Bridge,3.0,EJU8671,DEP,2025-07-10 07:00:00+02:00,G4
LX736,"ARR,EXP",2025-07-09 22:15:00+02:00,B31,Bridge,1.0,LX737,DEP,2025-07-10 07:00:00+02:00,B31
,,,C8,Bridge,1.0,LA5745,DEP,2025-07-10 07:00:00+02:00,C8
,,,B17,Bridge,1.0,OS378,DEP,2025-07-10 07:00:00+02:00,B17
,,,B26,Bridge,1.0,DL9593,DEP,2025-07-10 07:00:00+02:00,B26
,,,B36,Bridge,1.0,LO270,DEP,2025-07-10 07:00:00+02:00,B36
,,,B31,Bridge,1.0,LX737,DEP,2025-07-10 07:00:00+02:00,B31
TP674,ARR,2025-07-09 22:20:00+02:00,C6,Bridge,1.0,TP675,DEP,2025-07-10 07:00:00+02:00,C6
,,,R006,Remote,3.0,OR2011,DEP,2025-07-10 07:00:00+02:00,D62
MF9705,ARR,2025-07-09 11:10:00+02:00,B26,Bridge,1.0,MF9704,DEP,2025-07-10 07:00:00+02:00,B26
KE6432,ARR,2025-07-09 16:05:00+02:00,B26,Bridge,1.0,KE6431,DEP,2025-07-10 07:00:00+02:00,B26
CZ7789,"ARR,EXP",2025-07-10 07:00:00+02:00,,,2.0,,,,
KL1198,ARR,2025-07-09 11:10:00+02:00,B26,Bridge,1.0,KL1197,DEP,2025-07-10 07:00:00+02:00,B26
,,,C6,Bridge,1.0,TP675,DEP,2025-07-10 07:00:00+02:00,C6
KQ1720,"ARR,EXP",2025-07-10 07:00:00+02:00,,,2.0,,,,
DL9524,"ARR,EXP",2025-07-10 07:00:00+02:00,,,2.0,,,,
SK6628,"ARR,EXP",2025-07-09 11:35:00+02:00,B26,Bridge,1.0,SK6627,DEP,2025-07-10 07:00:00+02:00,B26
AM6373,"ARR,EXP",2025-07-10 07:00:00+02:00,,,2.0,,,,
DL9592,ARR,2025-07-09 08:35:00+02:00,B26,Bridge,1.0,DL9593,DEP,2025-07-10 07:00:00+02:00,B26
,,,B15,Bridge,3.0,CD405,DEP,2025-07-10 07:00:00+02:00,B15
,,,B26,Bridge,1.0,CZ7613,DEP,2025-07-10 07:00:00+02:00,B26
AM6415,"ARR,EXP",2025-07-10 07:00:00+02:00,,,2.0,,,,
,,,R007,Remote,1.0,UX3766,DEP,2025-07-10 07:05:00+02:00,D63
,,,B3,Bridge,1.0,KE6427,DEP,2025-07-10 07:05:00+02:00,B3
KL1502,ARR,2025-07-09 13:00:00+02:00,R007,Remote,1.0,KL1501,DEP,2025-07-10 07:05:00+02:00,D63
,,,R007,Remote,1.0,MU1845,DEP,2025-07-10 07:05:00+02:00,D63
G35546,"ARR,EXP",2025-07-09 11:40:00+02:00,R007,Remote,1.0,G35547,DEP,2025-07-10 07:05:00+02:00,D63
MF9651,ARR,2025-07-09 13:00:00+02:00,R007,Remote,1.0,MF9650,DEP,2025-07-10 07:05:00+02:00,D63
,,,R007,Remote,1.0,MF9650,DEP,2025-07-10 07:05:00+02:00,D63
,,,R007,Remote,1.0,G35547,DEP,2025-07-10 07:05:00+02:00,D63
MU1600,"ARR,EXP",2025-07-09 10:35:00+02:00,B3,Bridge,1.0,MU1599,DEP,2025-07-10 07:05:00+02:00,B3
KL1770,"ARR,EXP",2025-07-09 07:25:00+02:00,B3,Bridge,1.0,KL1771,DEP,2025-07-10 07:05:00+02:00,B3
,,,B3,Bridge,1.0,MU1599,DEP,2025-07-10 07:05:00+02:00,B3
,,,B3,Bridge,1.0,KL1771,DEP,2025-07-10 07:05:00+02:00,B3
,,,B3,Bridge,1.0,CZ7670,DEP,2025-07-10 07:05:00+02:00,B3
,,,B3,Bridge,1.0,DL9350,DEP,2025-07-10 07:05:00+02:00,B3
MF9330,"ARR,EXP",2025-07-09 10:35:00+02:00,B3,Bridge,1.0,MF9329,DEP,2025-07-10 07:05:00+02:00,B3
,,,R007,Remote,1.0,KL1501,DEP,2025-07-10 07:05:00+02:00,D63
KL1500,"ARR,EXP",2025-07-09 08:25:00+02:00,R007,Remote,1.0,KL1501,DEP,2025-07-10 07:05:00+02:00,D63
KL1772,"ARR,EXP",2025-07-09 10:35:00+02:00,B3,Bridge,1.0,KL1771,DEP,2025-07-10 07:05:00+02:00,B3
,,,R007,Remote,1.0,DL9360,DEP,2025-07-10 07:05:00+02:00,D63
MF9649,"ARR,EXP",2025-07-09 08:25:00+02:00,R007,Remote,1.0,MF9650,DEP,2025-07-10 07:05:00+02:00,D63
UX3765,"ARR,EXP",2025-07-09 15:35:00+02:00,R007,Remote,1.0,UX3766,DEP,2025-07-10 07:05:00+02:00,D63
,,,B3,Bridge,1.0,MF9329,DEP,2025-07-10 07:05:00+02:00,B3
,,,R007,Remote,1.0,CZ7643,DEP,2025-07-10 07:05:00+02:00,D63
CZ7705,"ARR,EXP",2025-07-09 21:00:00+02:00,C5,Bridge,1.0,CZ7704,DEP,2025-07-10 07:10:00+02:00,C5
,,,R021,Remote,1.0,KL1601,DEP,2025-07-10 07:10:00+02:00,D86
,,,D6,Bridge,2.0,VS7043,DEP,2025-07-10 07:10:00+02:00,D6
,,,R021,Remote,1.0,DL9579,DEP,2025-07-10 07:10:00+02:00,D86
,,,D6,Bridge,2.0,KL0977,DEP,2025-07-10 07:10:00+02:00,D6
DL9578,"LND,EXP",2025-07-09 11:00:00+02:00,R021,Remote,1.0,DL9579,DEP,2025-07-10 07:10:00+02:00,D86
KL1918,ARR,2025-07-09 10:55:00+02:00,C5,Bridge,1.0,KL1917,DEP,2025-07-10 07:10:00+02:00,C5
,,,C11,Bridge,1.0,VY8364,DEP,2025-07-10 07:10:00+02:00,C11
VY8363,"ARR,EXP",2025-07-09 21:55:00+02:00,C11,Bridge,1.0,VY8364,DEP,2025-07-10 07:10:00+02:00,C11
IB5974,"ARR,EXP",2025-07-09 21:55:00+02:00,C11,Bridge,1.0,IB5975,DEP,2025-07-10 07:10:00+02:00,C11
MF9725,ARR,2025-07-09 10:55:00+02:00,C5,Bridge,1.0,MF9724,DEP,2025-07-10 07:10:00+02:00,C5
,,,M2,Bridge,3.0,EJU7915,DEP,2025-07-10 07:10:00+02:00,M2
,,,C11,Bridge,1.0,QR4677,DEP,2025-07-10 07:10:00+02:00,C11
,,,C11,Bridge,1.0,IB5975,DEP,2025-07-10 07:10:00+02:00,C11
MF9396,ARR,2025-07-09 13:00:00+02:00,R021,Remote,1.0,MF9395,DEP,2025-07-10 07:10:00+02:00,D86
,,,D6,Bridge,2.0,DL9319,DEP,2025-07-10 07:10:00+02:00,D6
KL1602,ARR,2025-07-09 13:00:00+02:00,R021,Remote,1.0,KL1601,DEP,2025-07-10 07:10:00+02:00,D86
KL1600,ARR,2025-07-09 08:50:00+02:00,R021,Remote,1.0,KL1601,DEP,2025-07-10 07:10:00+02:00,D86
DL9447,"ARR,EXP",2025-07-10 07:10:00+02:00,,,3.0,,,,
DL9450,"ARR,EXP",2025-07-10 07:10:00+02:00,,,2.0,,,,
EJU7916,"ARR,EXP",2025-07-09 15:55:00+02:00,M2,Bridge,3.0,EJU7915,DEP,2025-07-10 07:10:00+02:00,M2
KL0978,"ARR,EXP",2025-07-09 09:50:00+02:00,D6,Bridge,2.0,KL0977,DEP,2025-07-10 07:10:00+02:00,D6
KL1916,"ARR,EXP",2025-07-09 08:40:00+02:00,C5,Bridge,1.0,KL1917,DEP,2025-07-10 07:10:00+02:00,C5
,,,R021,Remote,1.0,GF5205,DEP,2025-07-10 07:10:00+02:00,D86
,,,R021,Remote,1.0,MF9395,DEP,2025-07-10 07:10:00+02:00,D86
,,,D29,Bridge,3.0,OR3019,DEP,2025-07-10 07:10:00+02:00,D29
MF9723,"ARR,EXP",2025-07-09 08:40:00+02:00,C5,Bridge,1.0,MF9724,DEP,2025-07-10 07:10:00+02:00,C5
,,,C5,Bridge,1.0,CZ7704,DEP,2025-07-10 07:10:00+02:00,C5
,,,C5,Bridge,1.0,KL1917,DEP,2025-07-10 07:10:00+02:00,C5
,,,,,3.0,EJU7897,DEP,2025-07-10 07:10:00+02:00,
,,,C5,Bridge,1.0,MU1781,DEP,2025-07-10 07:10:00+02:00,C5
QR4676,"ARR,EXP",2025-07-09 09:20:00+02:00,C11,Bridge,1.0,QR4677,DEP,2025-07-10 07:10:00+02:00,C11
,,,C5,Bridge,1.0,MF9724,DEP,2025-07-10 07:10:00+02:00,C5
,,,C5,Bridge,1.0,DL9432,DEP,2025-07-10 07:10:00+02:00,C5
DL9460,ARR,2025-07-10 07:15:00+02:00,,,2.0,,,,
,,,D27,Bridge,2.0,KL1001,DEP,2025-07-10 07:15:00+02:00,D27
