Flight Number,Airline,Status,Scheduled Time,Gate,Stand,Terminal
HV5679,,DEP,2025-08-01T05:15:00.000+02:00,D86,,1
KL2527,,DEP,2025-08-01T05:15:00.000+02:00,D86,,1
HV6875,,DEP,2025-08-01T05:15:00.000+02:00,D71,,1
KL2742,,DEP,2025-08-01T05:15:00.000+02:00,D71,,1
FX4235,,LND,2025-08-01T05:20:00.000+02:00,,,
HV5519,,DEP,2025-08-01T05:20:00.000+02:00,E5,,1
KL0856,,"ARR,EXP",2025-08-01T05:20:00.000+02:00,,,3
AF3112,,"ARR,EXP",2025-08-01T05:20:00.000+02:00,,,3
KE5925,,"ARR,EXP",2025-08-01T05:20:00.000+02:00,,,3
HV5805,,DEP,2025-08-01T05:20:00.000+02:00,C11,,1
KL2636,,DEP,2025-08-01T05:20:00.000+02:00,C11,,1
HV5885,,DEP,2025-08-01T05:35:00.000+02:00,C18,,1
DL0256,,"ARR,EXP",2025-08-01T05:40:00.000+02:00,,,3
AF3615,,"ARR,EXP",2025-08-01T05:40:00.000+02:00,,,3
KL6095,,"ARR,EXP",2025-08-01T05:40:00.000+02:00,,,3
VS3914,,"ARR,EXP",2025-08-01T05:40:00.000+02:00,,,3
HV6891,,DEP,2025-08-01T05:45:00.000+02:00,D82,,1
HV5041,,DEP,2025-08-01T05:45:00.000+02:00,C15,,1
CD535,,DEP,2025-08-01T05:55:00.000+02:00,B27,,3
HV5131,,DEP,2025-08-01T05:55:00.000+02:00,D77,,1
KL0588,,ARR,2025-08-01T05:55:00.000+02:00,,,3
AF5479,,ARR,2025-08-01T05:55:00.000+02:00,,,3
DL9507,,ARR,2025-08-01T05:55:00.000+02:00,,,3
DL0132,,CNX,2025-08-01T06:00:00.000+02:00,,,
AF5606,,CNX,2025-08-01T06:00:00.000+02:00,,,
KL6018,,CNX,2025-08-01T06:00:00.000+02:00,,,
VS3929,,CNX,2025-08-01T06:00:00.000+02:00,,,
HV6153,,DEP,2025-08-01T06:00:00.000+02:00,D81,,1
KL3275,,DEP,2025-08-01T06:00:00.000+02:00,D81,,1
KL0692,,"ARR,EXP",2025-08-01T06:00:00.000+02:00,,,3
AF8266,,"ARR,EXP",2025-08-01T06:00:00.000+02:00,,,3
DL9699,,"ARR,EXP",2025-08-01T06:00:00.000+02:00,,,3
VS7164,,"ARR,EXP",2025-08-01T06:00:00.000+02:00,,,3
DL0070,,"ARR,EXP",2025-08-01T06:00:00.000+02:00,,,3
AF3652,,"ARR,EXP",2025-08-01T06:00:00.000+02:00,,,3
KL6071,,"ARR,EXP",2025-08-01T06:00:00.000+02:00,,,3
VS4054,,"ARR,EXP",2025-08-01T06:00:00.000+02:00,,,3
OR1033,,DEP,2025-08-01T06:05:00.000+02:00,D63,,3
HV6113,,DEP,2025-08-01T06:10:00.000+02:00,D83,,1
KL2580,,DEP,2025-08-01T06:10:00.000+02:00,D83,,1
HV5931,,DEP,2025-08-01T06:15:00.000+02:00,D73,,1
OR1635,,DEP,2025-08-01T06:20:00.000+02:00,D68,,3
HV6003,,DEP,2025-08-01T06:20:00.000+02:00,D85,,1
KL0714,,ARR,2025-08-01T06:20:00.000+02:00,,,4
OR1641,,DEP,2025-08-01T06:25:00.000+02:00,D60,,3
HV1041,,DEP,2025-08-01T06:25:00.000+02:00,C16,,1
HV6331,,"DEP,DEL",2025-08-01T06:25:00.000+02:00,C13,,1
G35525,,DEP,2025-08-01T06:30:00.000+02:00,B3,,1
KL1497,,DEP,2025-08-01T06:30:00.000+02:00,B3,,1
DL9299,,DEP,2025-08-01T06:30:00.000+02:00,B3,,1
HV5723,,DEP,2025-08-01T06:30:00.000+02:00,B15,,1
KL2595,,DEP,2025-08-01T06:30:00.000+02:00,B15,,1
OR3011,,DEP,2025-08-01T06:30:00.000+02:00,D26,,3
KL0428,,"ARR,EXP",2025-08-01T06:30:00.000+02:00,,,3
AF8422,,"ARR,EXP",2025-08-01T06:30:00.000+02:00,,,3
DL9501,,"ARR,EXP",2025-08-01T06:30:00.000+02:00,,,3
SK6859,,"ARR,EXP",2025-08-01T06:30:00.000+02:00,,,3
KL0810,,"ARR,EXP",2025-08-01T06:35:00.000+02:00,,,3
AF8398,,"ARR,EXP",2025-08-01T06:35:00.000+02:00,,,3
MH5632,,"ARR,EXP",2025-08-01T06:35:00.000+02:00,,,3
CZ0307,,"ARR,EXP",2025-08-01T06:35:00.000+02:00,,,3
KL1401,,DEP,2025-08-01T06:40:00.000+02:00,C5,,1
AF8373,,DEP,2025-08-01T06:40:00.000+02:00,C5,,1
DL9205,,DEP,2025-08-01T06:40:00.000+02:00,C5,,1
MU1555,,DEP,2025-08-01T06:40:00.000+02:00,C5,,1
VN3107,,DEP,2025-08-01T06:40:00.000+02:00,C5,,1
KL0590,,"ARR,EXP",2025-08-01T06:40:00.000+02:00,,,3
AF8248,,"ARR,EXP",2025-08-01T06:40:00.000+02:00,,,3
DL9373,,"ARR,EXP",2025-08-01T06:40:00.000+02:00,,,3
MP6122,,"LND,EXP",2025-08-01T06:40:00.000+02:00,,,
HV6563,,DEP,2025-08-01T06:45:00.000+02:00,D87,,1
HV6117,,DEP,2025-08-01T06:45:00.000+02:00,D84,,1
KL2651,,DEP,2025-08-01T06:45:00.000+02:00,D84,,1
KL1701,,DEP,2025-08-01T06:50:00.000+02:00,B6,,1
DL9606,,DEP,2025-08-01T06:50:00.000+02:00,B6,,1
MF9353,,DEP,2025-08-01T06:50:00.000+02:00,B6,,1
MU1833,,DEP,2025-08-01T06:50:00.000+02:00,B6,,1
CI8589,,DEP,2025-08-01T06:50:00.000+02:00,C7,,1
CZ7699,,DEP,2025-08-01T06:50:00.000+02:00,C7,,1
DL9418,,DEP,2025-08-01T06:50:00.000+02:00,C7,,1
MF9716,,DEP,2025-08-01T06:50:00.000+02:00,C7,,1
KL1901,,DEP,2025-08-01T06:50:00.000+02:00,C7,,1
OR1205,,DEP,2025-08-01T06:50:00.000+02:00,D66,,3
KL0642,,"ARR,EXP",2025-08-01T06:50:00.000+02:00,,,3
AF6715,,"ARR,EXP",2025-08-01T06:50:00.000+02:00,,,3
DL9357,,"ARR,EXP",2025-08-01T06:50:00.000+02:00,,,3
VS7126,,"ARR,EXP",2025-08-01T06:50:00.000+02:00,,,3
KL1751,,DEP,2025-08-01T06:55:00.000+02:00,B24,,1
CZ7665,,DEP,2025-08-01T06:55:00.000+02:00,B24,,1
DL9327,,DEP,2025-08-01T06:55:00.000+02:00,B24,,1
KE6435,,DEP,2025-08-01T06:55:00.000+02:00,B24,,1
MU1605,,DEP,2025-08-01T06:55:00.000+02:00,B24,,1
KL1501,,DEP,2025-08-01T06:55:00.000+02:00,C9,,1
CZ7643,,DEP,2025-08-01T06:55:00.000+02:00,C9,,1
DL9360,,DEP,2025-08-01T06:55:00.000+02:00,C9,,1
G35547,,DEP,2025-08-01T06:55:00.000+02:00,C9,,1
MF9650,,DEP,2025-08-01T06:55:00.000+02:00,C9,,1
MU1845,,DEP,2025-08-01T06:55:00.000+02:00,C9,,1
UX3766,,DEP,2025-08-01T06:55:00.000+02:00,C9,,1
HV5463,,DEP,2025-08-01T06:55:00.000+02:00,B17,,1
KL3296,,DEP,2025-08-01T06:55:00.000+02:00,B17,,1
DL9183,,DEP,2025-08-01T06:55:00.000+02:00,D74,,1
KE6419,,DEP,2025-08-01T06:55:00.000+02:00,D74,,1
MF9308,,DEP,2025-08-01T06:55:00.000+02:00,D74,,1
MU1799,,DEP,2025-08-01T06:55:00.000+02:00,D74,,1
SK6651,,DEP,2025-08-01T06:55:00.000+02:00,D74,,1
KL1215,,DEP,2025-08-01T06:55:00.000+02:00,D74,,1
CZ7619,,DEP,2025-08-01T06:55:00.000+02:00,D74,,1
KL1929,,DEP,2025-08-01T06:55:00.000+02:00,B30,,1
CZ7713,,DEP,2025-08-01T06:55:00.000+02:00,B30,,1
DL9618,,DEP,2025-08-01T06:55:00.000+02:00,B30,,1
KE6417,,DEP,2025-08-01T06:55:00.000+02:00,B30,,1
MF9616,,DEP,2025-08-01T06:55:00.000+02:00,B30,,1
MU1785,,DEP,2025-08-01T06:55:00.000+02:00,B30,,1
KL1351,,DEP,2025-08-01T06:55:00.000+02:00,B32,,1
CI9481,,DEP,2025-08-01T06:55:00.000+02:00,B32,,1
DL9532,,DEP,2025-08-01T06:55:00.000+02:00,B32,,1
KL1797,,DEP,2025-08-01T06:55:00.000+02:00,B28,,1
CZ7681,,DEP,2025-08-01T06:55:00.000+02:00,B28,,1
DL9565,,DEP,2025-08-01T06:55:00.000+02:00,B28,,1
MF9385,,DEP,2025-08-01T06:55:00.000+02:00,B28,,1
MU1579,,DEP,2025-08-01T06:55:00.000+02:00,B28,,1
KL1197,,DEP,2025-08-01T06:55:00.000+02:00,B22,,1
CZ7613,,DEP,2025-08-01T06:55:00.000+02:00,B22,,1
DL9593,,DEP,2025-08-01T06:55:00.000+02:00,B22,,1
GA9478,,DEP,2025-08-01T06:55:00.000+02:00,B22,,1
KE6431,,DEP,2025-08-01T06:55:00.000+02:00,B22,,1
MF9704,,DEP,2025-08-01T06:55:00.000+02:00,B22,,1
SK6627,,DEP,2025-08-01T06:55:00.000+02:00,B22,,1
DL0160,,"ARR,EXP",2025-08-01T06:55:00.000+02:00,,,3
AF8975,,"ARR,EXP",2025-08-01T06:55:00.000+02:00,,,3
VS3934,,"ARR,EXP",2025-08-01T06:55:00.000+02:00,,,3
KL6064,,"ARR,EXP",2025-08-01T06:55:00.000+02:00,,,3
CX271,,ARR,2025-08-01T06:55:00.000+02:00,,,4
EJU7973,,DEP,2025-08-01T07:00:00.000+02:00,M5,,3
VY8308,,DEP,2025-08-01T07:00:00.000+02:00,C8,,1
QR3521,,DEP,2025-08-01T07:00:00.000+02:00,C8,,1
LA5745,,DEP,2025-08-01T07:00:00.000+02:00,C8,,1
IB5242,,DEP,2025-08-01T07:00:00.000+02:00,C8,,1
EJU7881,,DEP,2025-08-01T07:00:00.000+02:00,M1,,3
EJU8671,,DEP,2025-08-01T07:00:00.000+02:00,G3,,3
OS378,,DEP,2025-08-01T07:00:00.000+02:00,B23,,1
NH6300,,DEP,2025-08-01T07:00:00.000+02:00,B23,,1
LO270,,DEP,2025-08-01T07:00:00.000+02:00,B36,,1
CD507,,DEP,2025-08-01T07:00:00.000+02:00,E4,,3
EJU7913,,DEP,2025-08-01T07:00:00.000+02:00,M4,,3
LH2311,,DEP,2025-08-01T07:00:00.000+02:00,B31,,1
A31407,,DEP,2025-08-01T07:00:00.000+02:00,B31,,1
TP675,,DEP,2025-08-01T07:00:00.000+02:00,C10,,1
LX737,,DEP,2025-08-01T07:00:00.000+02:00,B35,,1
AC6773,,DEP,2025-08-01T07:00:00.000+02:00,B35,,1
KL1786,,ARR,2025-08-01T07:00:00.000+02:00,,,1
AM6415,,ARR,2025-08-01T07:00:00.000+02:00,,,1
CZ7789,,ARR,2025-08-01T07:00:00.000+02:00,,,1
DL9531,,ARR,2025-08-01T07:00:00.000+02:00,,,1
MU1590,,ARR,2025-08-01T07:00:00.000+02:00,,,1
SK6747,,ARR,2025-08-01T07:00:00.000+02:00,,,1
KL1700,,ARR,2025-08-01T07:00:00.000+02:00,,,2
AM6373,,ARR,2025-08-01T07:00:00.000+02:00,,,2
DL9524,,ARR,2025-08-01T07:00:00.000+02:00,,,2
KQ1720,,ARR,2025-08-01T07:00:00.000+02:00,,,2
MF9352,,ARR,2025-08-01T07:00:00.000+02:00,,,2
MU1896,,ARR,2025-08-01T07:00:00.000+02:00,,,2
KL1771,,DEP,2025-08-01T07:05:00.000+02:00,B3,,1
CZ7670,,DEP,2025-08-01T07:05:00.000+02:00,B3,,1
DL9350,,DEP,2025-08-01T07:05:00.000+02:00,B3,,1
KE6427,,DEP,2025-08-01T07:05:00.000+02:00,B3,,1
MF9329,,DEP,2025-08-01T07:05:00.000+02:00,B3,,1
MU1599,,DEP,2025-08-01T07:05:00.000+02:00,B3,,1
KL0612,,"ARR,EXP",2025-08-01T07:05:00.000+02:00,,,3
AF3158,,"ARR,EXP",2025-08-01T07:05:00.000+02:00,,,3
DL9602,,"ARR,EXP",2025-08-01T07:05:00.000+02:00,,,3
VS7142,,"ARR,EXP",2025-08-01T07:05:00.000+02:00,,,3
KL0977,,DEP,2025-08-01T07:10:00.000+02:00,D6,,2
DL9319,,DEP,2025-08-01T07:10:00.000+02:00,D6,,2
VS7043,,DEP,2025-08-01T07:10:00.000+02:00,D6,,2
EJU7803,,DEP,2025-08-01T07:10:00.000+02:00,M6,,3
MF9395,,DEP,2025-08-01T07:10:00.000+02:00,D71,,1
DL9579,,DEP,2025-08-01T07:10:00.000+02:00,D71,,1
GF5205,,DEP,2025-08-01T07:10:00.000+02:00,D71,,1
KL1601,,DEP,2025-08-01T07:10:00.000+02:00,D71,,1
DL9432,,DEP,2025-08-01T07:10:00.000+02:00,C15,,1
MF9724,,DEP,2025-08-01T07:10:00.000+02:00,C15,,1
MU1781,,DEP,2025-08-01T07:10:00.000+02:00,C15,,1
KL1917,,DEP,2025-08-01T07:10:00.000+02:00,C15,,1
CZ7704,,DEP,2025-08-01T07:10:00.000+02:00,C15,,1
OR3505,,DEP,2025-08-01T07:10:00.000+02:00,D28,,3
AZ3779,,"ARR,EXP",2025-08-01T07:10:00.000+02:00,,,2
DL9450,,"ARR,EXP",2025-08-01T07:10:00.000+02:00,,,2
SK6700,,"ARR,EXP",2025-08-01T07:10:00.000+02:00,,,2
KL1290,,"ARR,EXP",2025-08-01T07:10:00.000+02:00,,,2
AF8304,,"ARR,EXP",2025-08-01T07:10:00.000+02:00,,,2
KL0652,,"ARR,EXP",2025-08-01T07:10:00.000+02:00,,,4
AF6697,,"ARR,EXP",2025-08-01T07:10:00.000+02:00,,,4
DL9447,,"ARR,EXP",2025-08-01T07:10:00.000+02:00,,,4
VS7120,,"ARR,EXP",2025-08-01T07:10:00.000+02:00,,,4
HV5807,,DEP,2025-08-01T07:15:00.000+02:00,D78,,1
KL2563,,DEP,2025-08-01T07:15:00.000+02:00,D78,,1
VY1374,,DEP,2025-08-01T07:15:00.000+02:00,C14,,1
QR3518,,DEP,2025-08-01T07:15:00.000+02:00,C14,,1
IB5678,,DEP,2025-08-01T07:15:00.000+02:00,C14,,1
KL1849,,DEP,2025-08-01T07:15:00.000+02:00,B6,,1
CZ7745,,DEP,2025-08-01T07:15:00.000+02:00,B6,,1
DL9368,,DEP,2025-08-01T07:15:00.000+02:00,B6,,1
GA9017,,DEP,2025-08-01T07:15:00.000+02:00,B6,,1
KE6499,,DEP,2025-08-01T07:15:00.000+02:00,B6,,1
MF9682,,DEP,2025-08-01T07:15:00.000+02:00,B6,,1
MU1593,,DEP,2025-08-01T07:15:00.000+02:00,B6,,1
KL1001,,DEP,2025-08-01T07:15:00.000+02:00,D27,,2
CZ7601,,DEP,2025-08-01T07:15:00.000+02:00,D27,,2
DL9640,,DEP,2025-08-01T07:15:00.000+02:00,D27,,2
MF9636,,DEP,2025-08-01T07:15:00.000+02:00,D27,,2
MU1641,,DEP,2025-08-01T07:15:00.000+02:00,D27,,2
VS7058,,DEP,2025-08-01T07:15:00.000+02:00,D27,,2
SK6601,,DEP,2025-08-01T07:15:00.000+02:00,B26,,1
KE6441,,DEP,2025-08-01T07:15:00.000+02:00,B26,,1
MF9371,,DEP,2025-08-01T07:15:00.000+02:00,B26,,1
MU1795,,DEP,2025-08-01T07:15:00.000+02:00,B26,,1
DL9209,,DEP,2025-08-01T07:15:00.000+02:00,B26,,1
GA9758,,DEP,2025-08-01T07:15:00.000+02:00,B26,,1
KL1267,,DEP,2025-08-01T07:15:00.000+02:00,B26,,1
CZ7626,,DEP,2025-08-01T07:15:00.000+02:00,B26,,1
KL1796,,ARR,2025-08-01T07:15:00.000+02:00,,,2
DL9668,,ARR,2025-08-01T07:15:00.000+02:00,,,2
MF9384,,ARR,2025-08-01T07:15:00.000+02:00,,,2
KL1750,,ARR,2025-08-01T07:15:00.000+02:00,,,2
AM6246,,ARR,2025-08-01T07:15:00.000+02:00,,,2
CZ7780,,ARR,2025-08-01T07:15:00.000+02:00,,,2
DL9268,,ARR,2025-08-01T07:15:00.000+02:00,,,2
UX3760,,ARR,2025-08-01T07:15:00.000+02:00,,,2
UA070,,ARR,2025-08-01T07:15:00.000+02:00,,,3
SQ324,,"ARR,EXP",2025-08-01T07:15:00.000+02:00,,,4
KL1708,,"ARR,EXP",2025-08-01T07:15:00.000+02:00,,,2
DL9609,,"ARR,EXP",2025-08-01T07:15:00.000+02:00,,,2
UX3752,,"ARR,EXP",2025-08-01T07:15:00.000+02:00,,,2
KL1838,,ARR,2025-08-01T07:15:00.000+02:00,,,2
AM6619,,ARR,2025-08-01T07:15:00.000+02:00,,,2
DL9650,,ARR,2025-08-01T07:15:00.000+02:00,,,2
SK6771,,ARR,2025-08-01T07:15:00.000+02:00,,,2
AM6369,,ARR,2025-08-01T07:15:00.000+02:00,,,2
DL9460,,ARR,2025-08-01T07:15:00.000+02:00,,,2
SK6763,,ARR,2025-08-01T07:15:00.000+02:00,,,2
KL1760,,ARR,2025-08-01T07:15:00.000+02:00,,,2
AF3142,,ARR,2025-08-01T07:15:00.000+02:00,,,2
EJU7927,,DEP,2025-08-01T07:20:00.000+02:00,M2,,3
OR3701,,DEP,2025-08-01T07:20:00.000+02:00,D24,,3
IB740,,DEP,2025-08-01T07:20:00.000+02:00,C6,,1
HV5313,,DEP,2025-08-01T07:20:00.000+02:00,E8,,1
KL2755,,DEP,2025-08-01T07:20:00.000+02:00,E8,,1
OR3621,,DEP,2025-08-01T07:25:00.000+02:00,D22,,3
OR1251,,DEP,2025-08-01T07:25:00.000+02:00,D86,,3
KL1770,,ARR,2025-08-01T07:25:00.000+02:00,,,2
AM6219,,ARR,2025-08-01T07:25:00.000+02:00,,,2
CZ7702,,ARR,2025-08-01T07:25:00.000+02:00,,,2
DL9441,,ARR,2025-08-01T07:25:00.000+02:00,,,2
MF9328,,ARR,2025-08-01T07:25:00.000+02:00,,,2
SV6345,,ARR,2025-08-01T07:25:00.000+02:00,,,2
UX3758,,ARR,2025-08-01T07:25:00.000+02:00,,,2
GA9767,,ARR,2025-08-01T07:25:00.000+02:00,,,2
KL1826,,ARR,2025-08-01T07:25:00.000+02:00,,,1
AM6649,,ARR,2025-08-01T07:25:00.000+02:00,,,1
DL9696,,ARR,2025-08-01T07:25:00.000+02:00,,,1
SK6685,,ARR,2025-08-01T07:25:00.000+02:00,,,1
OR1073,,DEP,2025-08-01T07:30:00.000+02:00,D62,,3
SK6600,,ARR,2025-08-01T07:30:00.000+02:00,,,2
CZ7753,,ARR,2025-08-01T07:30:00.000+02:00,,,2
DL9480,,ARR,2025-08-01T07:30:00.000+02:00,,,2
GA9759,,ARR,2025-08-01T07:30:00.000+02:00,,,2
MF9370,,ARR,2025-08-01T07:30:00.000+02:00,,,2
RO9303,,ARR,2025-08-01T07:30:00.000+02:00,,,2
KL1266,,ARR,2025-08-01T07:30:00.000+02:00,,,2
AM6377,,ARR,2025-08-01T07:30:00.000+02:00,,,2
KL1350,,ARR,2025-08-01T07:30:00.000+02:00,,,2
CI9488,,ARR,2025-08-01T07:30:00.000+02:00,,,2
DL9582,,ARR,2025-08-01T07:30:00.000+02:00,,,2
KL1228,,ARR,2025-08-01T07:30:00.000+02:00,,,1
DL9526,,ARR,2025-08-01T07:30:00.000+02:00,,,1
RO9311,,ARR,2025-08-01T07:30:00.000+02:00,,,1
KZ004,,"LND,EXP",2025-08-01T07:35:00.000+02:00,,,
EJU7979,,DEP,2025-08-01T07:35:00.000+02:00,H7,,3
VY2904,,DEP,2025-08-01T07:35:00.000+02:00,C12,,1
QR3551,,DEP,2025-08-01T07:35:00.000+02:00,C12,,1
IB5761,,DEP,2025-08-01T07:35:00.000+02:00,C12,,1
KL0571,,"ARR,EXP",2025-08-01T07:35:00.000+02:00,,,3
DL9244,,"ARR,EXP",2025-08-01T07:35:00.000+02:00,,,3
UA946,,"ARR,EXP",2025-08-01T07:35:00.000+02:00,,,3
EJU7889,,DEP,2025-08-01T07:40:00.000+02:00,M3,,3
KL1135,,DEP,2025-08-01T07:40:00.000+02:00,D6,,2
DL9215,,DEP,2025-08-01T07:40:00.000+02:00,D6,,2
MF9736,,DEP,2025-08-01T07:40:00.000+02:00,D6,,2
MU1853,,DEP,2025-08-01T07:40:00.000+02:00,D6,,2
CI0073,,"ARR,EXP",2025-08-01T07:40:00.000+02:00,,,3
KL0210,,"ARR,EXP",2025-08-01T07:40:00.000+02:00,,,3
UX3000,,"ARR,EXP",2025-08-01T07:40:00.000+02:00,,,3
KQ1208,,"ARR,EXP",2025-08-01T07:40:00.000+02:00,,,2
AZ3801,,"ARR,EXP",2025-08-01T07:40:00.000+02:00,,,2
DL9557,,"ARR,EXP",2025-08-01T07:40:00.000+02:00,,,2
G35700,,"ARR,EXP",2025-08-01T07:40:00.000+02:00,,,2
KL1184,,"ARR,EXP",2025-08-01T07:40:00.000+02:00,,,2
AF8273,,"ARR,EXP",2025-08-01T07:40:00.000+02:00,,,2
KL1172,,ARR,2025-08-01T07:40:00.000+02:00,,,2
AZ3765,,ARR,2025-08-01T07:40:00.000+02:00,,,2
DL9669,,ARR,2025-08-01T07:40:00.000+02:00,,,2
KQ1196,,ARR,2025-08-01T07:40:00.000+02:00,,,2
G35682,,CNX,2025-08-01T07:45:00.000+02:00,,,
KQ1184,,CNX,2025-08-01T07:45:00.000+02:00,,,
KL1162,,CNX,2025-08-01T07:45:00.000+02:00,,,
DL9442,,CNX,2025-08-01T07:45:00.000+02:00,,,
KL1229,,DEP,2025-08-01T07:45:00.000+02:00,B16,,1
DL9240,,DEP,2025-08-01T07:45:00.000+02:00,B16,,1
MH5645,,DEP,2025-08-01T07:45:00.000+02:00,B16,,1
BA8450,,DEP,2025-08-01T07:45:00.000+02:00,D29,,3
BA423,,DEP,2025-08-01T07:45:00.000+02:00,D16,,3
KL0880,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
AF3126,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
DL9271,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
DL9318,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
KL0537,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
AF8253,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
KL1282,,ARR,2025-08-01T07:45:00.000+02:00,,,1
AF3151,,ARR,2025-08-01T07:45:00.000+02:00,,,1
DL9656,,ARR,2025-08-01T07:45:00.000+02:00,,,1
G35621,,ARR,2025-08-01T07:45:00.000+02:00,,,1
KQ1328,,ARR,2025-08-01T07:45:00.000+02:00,,,1
DL0242,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
AF3607,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
KL6016,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
VS3931,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
CD500,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,3
KL1942,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,2
AF3195,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,2
DL9246,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,2
G35581,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,2
KQ1986,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,2
SK6715,,"ARR,EXP",2025-08-01T07:45:00.000+02:00,,,2
KL1336,,ARR,2025-08-01T07:45:00.000+02:00,,,2
DL9686,,ARR,2025-08-01T07:45:00.000+02:00,,,2
KL0662,,CNX,2025-08-01T07:50:00.000+02:00,,,
AF8412,,CNX,2025-08-01T07:50:00.000+02:00,,,
DL9459,,CNX,2025-08-01T07:50:00.000+02:00,,,
VS7122,,CNX,2025-08-01T07:50:00.000+02:00,,,
KL0678,,ARR,2025-08-01T07:50:00.000+02:00,,,3
